nama_produk,harga,gambar,link_produk
ASICS Gel-Kayano 14 Cream Black Metallic Plum,1550000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzY0MTQ2LzNlZDdjMzQ0OWFjZDVlMTNmNDhmZjU5MTI1ZTEzMDZlLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/asics/asics-gel-kayano-14-cream-black-metallic-plum-1201a019-108-ka/64146?from=search
Nike Dunk Low Cacao Wow (Women's),1200000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzYzMjgzL2ZiYTM5NjU2ODEwMzRhNjUwNjc4NzE4YjIwNDBiZDRlLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-dunk-low-cacao-wow-w-dd1503-124-ka/63283?from=search
Air Jordan 1 Low Black Toe Medium Olive,1380000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMzExOS9lYTM5Y2NkNGJiYjBlZWIxZjE5OWEyNWM5ODdlNDNiYy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/air-jordan/air-jordan-1-low-black-toe-medium-olive-553558-092-ka/113119?from=search
Nike P-6000 Flat Pewter,1280000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzcyODg5LzQ1ZDZjM2RjOTEzNTY3NjEyYjcwZjNlZGJiMzk1YzAwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-p-6000-flat-pewter-fn7509-029-ka/72889?from=search
New Balance 550 White Gum,650000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzM5OTU1LzIwMTY2ZWZmMjBlMTdkZTE1NzdkMmFkY2NkYzgwNGI0LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/new-balance/new-balance-550-white-gum-bb550wgu-ka-2/39955?from=search
Adidas Handball Spezial Night Indigo,1780000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODA0Ny82OTE5YzY2ZjBlNTllYjE2ZmE2OTM3M2Y4MWNjNzMyMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/adidas/adidas-handball-spezial-night-indigo-if7087-ka/108047?from=search
Nike Dunk Low Polar Blue,1000000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzcyMDE2LzRkYjAxNmRhNTdlZTRlZGEwOTJhZjk0ZWQ4YjAzNzkxLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-dunk-low-polar-blue-dv0833-400-ka/72016?from=search
Nike Dunk Low Retro University Red Obsidian,830000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODAwNi8xYTlhY2U2OTk1YzFmODA3MWFiODczYWQwM2Q5ZGMxMS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-dunk-low-retro-university-red-obsidian-dv0833-601-ka/108006?from=search
Nike V2K Run Pure Platinum Metallic Silver,1220000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMzI1Ni9kMTZkZGRmMzgwZThjMzJjYTJhM2U0NWI5YzkwYzliYy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-v2k-run-pure-platinum-metallic-silver-hj4497-100-ka/113256?from=search
Nike Dunk Low Light Smoke Grey,1100000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExNTE1NC9hNTY2MWMyNGJlYjcyZmU4NDE4ZGEyMDRlOGYwNDE5MC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-dunk-low-light-smoke-grey-hf5441-105-ka/115154?from=search
ASICS Gel-NYC Ivory Clay Grey,2600000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzY2MzI2LzBkYzE5M2FiNTEzNjMzNDM5ZmM2MzUyODYyMjVlOGRhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/asics/asics-gel-nyc-ivory-clay-grey-1201a789-750-ka/66326?from=search
Nike LeBron 18 Low EP Neon Nights,500000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzgzODI2L2U2ZTJiYjNkNGZlOGE5ZDM5OWJhZjg2YTFjOThmNzE5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-lebron-18-low-ep-neon-nights-cv7564-600-ka-2/83826?from=search
Air Jordan 1 Low Reverse Panda,1220000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzkzMjUyLzFjNzczZWFkMjk0ZDBhYzE5MDQzYzg0N2Q1ZWRkNDE4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/air-jordan/air-jordan-1-low-reverse-panda-553558-132-ka/93252?from=search
ASICS Gel-Kayano 14 Black Pure Silver,2250000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzk2NTY2L2U1ZTQ5YjIzMmY0NWQ5M2FhNzVkOWVhY2FkY2UzYmNmLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/asics/asics-gel-kayano-14-black-pure-silver-1201a019-006-ka/96566?from=search
Onitsuka Tiger Tokuten White Black Gold,1850000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODI3NC9mNGFlYjVmNDM4ZjljZjVjN2VlZmE4Yzg4ZTY5MTIwZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/onitsuka-tiger/onitsuka-tiger-tokuten-white-black-gold-1183b938-100-ka/108274?from=search
ASICS Gel Fujitrabuco 8 Grey,550000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExNDYwNi8wNWRkOWIzNTJkZTY3MmNjNjJiOTk4OGU5NGIyN2FhYy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/asics/asics-gel-fujitrabuco-8-grey-1011b256-021-ka/114606?from=search
Nike SB Heritage Vulc Black White,450000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwNDgxMi8zYmEzZjMzZWE2ZmJiMzBiMDRlMjg4ODNjNzg1ZTJmMS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-sb-heritage-vulc-black-white-cd5010-003-ka/104812?from=search
Onitsuka Tiger Mexico 66 Chrome Silver,500000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODMwNS9iMjM2ODU0MzRmZGJhOTkyMzdhOTQwNjRkODNiYzA0ZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/onitsuka-tiger/onitsuka-tiger-mexico-66-chrome-silver-thl7c2-9399-ka/108305?from=search
ASICS Gel-1130 White Clay Canyon,1470000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzk4MTQ1LzYyZWRhOTcyNmRlNzdkZTU1ZjI3YTZhYTNhYmYyMzk3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/asics/asics-gel-1130-white-clay-canyon-1201a256-113-ka/98145?from=search
Adidas Handball Spezial Core Blue,1460000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzk2NzI3L2EyMjI4Yzg1OGU4ZWE1Y2E0Yjg3NDAzOGJmZmU5ODY1LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/adidas/adidas-handball-spezial-core-blue-ig6194-ka/96727?from=search
Nike Zoom Vomero 5 Have a Nike Day,1250000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzkwMDUxL2JmN2I0NzY1MDI4MTFiM2E4MWI4NGY1ZGM1OWJmNzE3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-zoom-vomero-5-have-a-nike-day-fn8889-181-ka/90051?from=search
New Balance 1906R Lunar New Year White,1580000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc4NzQ2LzdhZjFiOWVkYmRiMzk0Y2I0YWFiNDQwYzA2ODUwMTc5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/new-balance/new-balance-1906r-lunar-new-year-white-m1906nly-ka/78746?from=search
